shop_name,city,state,latitude,longitude,address,phone_number,rating,rating_count
Vashishth Ayurveda & Panchkarma,Ahmedabad,Gujarat,23.1026854,72.5950884,"Ground Floor, 4D Square Mall, 80, Motera, Ahmedabad, Gujarat 380005",+91 84015 25759,4.8,79
Shree Balaji Ayurvedic Store,Ahmedabad,Gujarat,23.0238851,72.5705761,"Devnandan Mega Mall, Ashram Rd, Ellisbridge, Ahmedabad, Gujarat 380009",+91 94277 44014,4.7,106
Unnat Ayurvedic Store,Ahmedabad,Gujarat,23.0713761,72.5613539,"Shop No.2-3, VN Residency, Nava Vadaj, Ahmedabad, Gujarat 380013",+91 81609 27058,4.3,6
Shri Baba Ayurved Store,Jaipur,Rajasthan,26.9044097,75.7530566,"Shop no 2a, Queens Rd, Vaishali Nagar, Jaipur, Rajasthan 302021",+91 88248 21008,4.9,543
Mahaveer Medical & Ayurvedic Store,Jaipur,Rajasthan,26.8748249,75.7907468,"871, JP Phatak Rd, Barkat Nagar, Jaipur, Rajasthan 302015",+91 98286 79444,4.4,38
Shubham Ayurvedic Store,Jaipur,Rajasthan,26.9043192,75.7529936,"Shop No.6, Queens Rd, Vaishali Nagar, Jaipur, Rajasthan 302021",+91 97821 53851,4.8,183
Jaipur Ayurvedic Store,Jaipur,Rajasthan,26.9205107,75.8171691,"76, Kishanpole Bazar Rd, Jalupura, Jaipur, Rajasthan 302001",,5.0,1
Shivam Ayurvedic Store,Jaipur,Rajasthan,26.9110899,75.7346653,"Shop No.195-A, Ganga Sagar-B, Vaishali Nagar, Jaipur, Rajasthan 302021",+91 82093 28480,5.0,12
Kerala Ayurveda Kendra,Jaipur,Rajasthan,26.9367125,75.786504,"32, Opposite Banipark, Indra Colony, Jaipur, Rajasthan 302016",+91 87400 00855,4.9,4282
Shekhawati Ayurvedic,Jaipur,Rajasthan,26.8616132,75.7626813,"Sector 6, Near Apollo Pharmacy, Mansarovar, Jaipur, Rajasthan 302020",+91 98874 96152,4.3,23
Maharshi Charak Ayurveda,Jaipur,Rajasthan,26.9258767,75.7910173,"AD 4C-A, Devi Marg, Bani Park, Jaipur, Rajasthan 302016",+91 98291 07138,4.9,1918
Gayatri Jadi Booti,Lucknow,Uttar Pradesh,26.8738925,80.96945,"Pandey's, Villa 252 A, Ayodhya Road, Indira Nagar, Lucknow, Uttar Pradesh 226016",+91 94500 28115,4.9,172
Mishra Ayurvedic Aushadhi Bikri Kendra & Clinic,Lucknow,Uttar Pradesh,26.8135117,80.9024836,"Shop No.36, Metro Station, Alambagh, Lucknow, Uttar Pradesh 226005",+91 63068 28924,4.8,223
Arogya Medicals,Lucknow,Uttar Pradesh,26.908633,80.9564279,"LGF-3, Kursi Rd, Jankipuram, Lucknow, Uttar Pradesh 226021",+91 94535 55538,5.0,324
Swadeshi Ayurvedic Agency,Lucknow,Uttar Pradesh,26.8857719,80.9955233,"Shop No.6, Sector 16, Indira Nagar, Lucknow, Uttar Pradesh 226016",+91 87954 06124,4.9,53
Jeevanshree Enterprises Sales Ayurvedic Medicine,Lucknow,Uttar Pradesh,26.8621926,81.0008848,"Palak Tower, 3/76, Vibhuti Khand, Gomti Nagar, Lucknow, Uttar Pradesh 226010",,5.0,6
Shri Sai Ayurvedic Stores,Lucknow,Uttar Pradesh,26.7899796,80.9099824,"D3/437 Sector H LDA Colony, Ashiyana, Lucknow, Uttar Pradesh 226012",+91 95404 17839,3.8,19
